harvestYear,munName,cropName,prodArea,cropProd,prodRate
2015,Atok,Cabbage,1774.99,30764.26,17.33
2015,Atok,Chinese Cabbage,141.65,2453.65,17.32
2015,Atok,Lettuce,127.09,1151.58,9.06
2015,Atok,Cauliflower,29.00,288.54,9.95
2015,Atok,Snap Beans,113.90,1041.98,9.15
2015,Atok,Garden Peas,71.40,406.59,5.69
2015,Atok,Sweet Pepper,19.36,153.40,7.92
2015,Atok,White Potato,1414.10,21453.60,15.17
2015,Atok,Carrots,989.96,14525.40,14.67
2015,Bakun,Cabbage,1473.73,29739.60,20.18
2015,Bakun,Chinese Cabbage,665.42,16635.40,25
2015,Bakun,Lettuce,60.79,607.90,10
2015,Bakun,Cauliflower,0.00,0.00,0
2015,Bakun,Snap Beans,265.21,2652.10,10
2015,Bakun,Garden Peas,121.92,731.52,6
2015,Bakun,Sweet Pepper,131.94,1052.74,7.98
2015,Bakun,White Potato,1451.70,29034.00,20
2015,Bakun,Carrots,374.24,5987.84,16
2015,Bokod,Cabbage,44.85,887.60,19.79
2015,Bokod,Chinese Cabbage,42.70,604.95,14.17
2015,Bokod,Lettuce,18.95,189.50,10
2015,Bokod,Cauliflower,22.44,269.29,12
2015,Bokod,Snap Beans,57.88,463.04,8
2015,Bokod,Garden Peas,37.78,151.12,4
2015,Bokod,Sweet Pepper,32.95,259.28,7.87
2015,Bokod,White Potato,46.69,735.27,15.75
2015,Bokod,Carrots,34.45,529.88,15.38
2015,Buguias,Cabbage,3092.66,63676.60,20.59
2015,Buguias,Chinese Cabbage,1377.08,26755.50,19.43
2015,Buguias,Lettuce,250.59,2256.07,9
2015,Buguias,Cauliflower,28.69,283.95,9.9
2015,Buguias,Snap Beans,34.80,248.26,7.13
2015,Buguias,Garden Peas,70.41,379.97,5.4
2015,Buguias,Sweet Pepper,57.99,398.94,6.88
2015,Buguias,White Potato,3810.74,61505.36,16.14
2015,Buguias,Carrots,1993.27,30920.20,15.51
2015,Itogon,Cabbage,59.00,590.00,10
2015,Itogon,Chinese Cabbage,75.00,750.00,10
2015,Itogon,Lettuce,20.00,180.00,9
2015,Itogon,Cauliflower,30.00,280.00,9.33
2015,Itogon,Snap Beans,42.00,294.00,7
2015,Itogon,Garden Peas,19.00,66.50,3.5
2015,Itogon,Sweet Pepper,20.00,120.00,6
2015,Itogon,White Potato,8.00,128.00,16
2015,Itogon,Carrots,8.00,112.00,10
2015,Kabayan,Cabbage,502.00,9055.00,18.04
2015,Kabayan,Chinese Cabbage,104.00,2380.00,22.88
2015,Kabayan,Lettuce,15.10,136.00,9.01
2015,Kabayan,Cauliflower,272.00,3990.00,14.67
2015,Kabayan,Snap Beans,122.00,957.00,7.84
2015,Kabayan,Garden Peas,79.00,395.00,5
2015,Kabayan,Sweet Pepper,244.00,1629.00,6.68
2015,Kabayan,White Potato,267.00,5520.00,20.67
2015,Kabayan,Carrots,600.00,10240.00,17.07
2015,Kapangan,Cabbage,3.41,40.92,12
2015,Kapangan,Chinese Cabbage,3.86,46.32,12
2015,Kapangan,Lettuce,1.98,23.76,12
2015,Kapangan,Cauliflower,1.06,10.60,10
2015,Kapangan,Snap Beans,126.80,1521.60,12
2015,Kapangan,Garden Peas,14.18,141.80,10
2015,Kapangan,Sweet Pepper,87.20,1046.40,12
2015,Kapangan,White Potato,0.00,0.00,0
2015,Kapangan,Carrots,0.00,0.00,0
2015,Kibungan,Cabbage,997.50,15732.00,15.77
2015,Kibungan,Chinese Cabbage,31.00,464.00,14.97
2015,Kibungan,Lettuce,25.55,194.40,7.61
2015,Kibungan,Cauliflower,2.70,14.70,5.44
2015,Kibungan,Snap Beans,83.55,595.55,7.13
2015,Kibungan,Garden Peas,21.00,83.45,3.97
2015,Kibungan,Sweet Pepper,63.65,381.45,5.99
2015,Kibungan,White Potato,1360.50,25792.00,18.96
2015,Kibungan,Carrots,211.75,2700.00,12.75
2015,La Trinidad,Cabbage,57.50,877.85,15.27
2015,La Trinidad,Chinese Cabbage,152.41,2179.81,14.3
2015,La Trinidad,Lettuce,179.90,2266.90,12.6
2015,La Trinidad,Cauliflower,22.65,323.33,14.27
2015,La Trinidad,Snap Beans,54.84,374.76,6.83
2015,La Trinidad,Garden Peas,34.27,125.37,3.66
2015,La Trinidad,Sweet Pepper,25.32,192.50,7.6
2015,La Trinidad,White Potato,19.80,309.33,15.62
2015,La Trinidad,Carrots,33.82,313.19,9.26
2015,Mankayan,Cabbage,705.49,17773.51,25.19
2015,Mankayan,Chinese Cabbage,606.79,12830.45,21.14
2015,Mankayan,Lettuce,112.56,1273.16,11.31
2015,Mankayan,Cauliflower,180.00,1900.00,10.56
2015,Mankayan,Snap Beans,131.96,1069.43,8.1
2015,Mankayan,Garden Peas,130.30,709.60,5.45
2015,Mankayan,Sweet Pepper,99.49,658.43,6.62
2015,Mankayan,White Potato,1708.64,39683.93,23.23
2015,Mankayan,Carrots,306.21,5040.78,16.46
2015,Sablan,Cabbage,0.80,14.40,18
2015,Sablan,Chinese Cabbage,2.90,58.00,20
2015,Sablan,Lettuce,0.00,0.00,0
2015,Sablan,Cauliflower,0.00,0.00,0
2015,Sablan,Snap Beans,251.22,2512.20,10
2015,Sablan,Garden Peas,13.10,96.40,7.36
2015,Sablan,Sweet Pepper,54.12,432.96,8
2015,Sablan,White Potato,0.00,0.00,0
2015,Sablan,Carrots,0.00,0.00,0
2015,Tuba,Cabbage,65.10,781.20,12
2015,Tuba,Chinese Cabbage,52.00,624.00,12
2015,Tuba,Lettuce,8.30,88.40,10.65
2015,Tuba,Cauliflower,14.20,170.40,12
2015,Tuba,Snap Beans,560.95,6731.40,12
2015,Tuba,Garden Peas,30.00,280.00,9.33
2015,Tuba,Sweet Pepper,68.30,564.70,8.27
2015,Tuba,White Potato,43.00,516.00,12
2015,Tuba,Carrots,32.00,384.00,12
2015,Tublay,Cabbage,48.93,84.77,1.73
2015,Tublay,Chinese Cabbage,22.10,62.22,2.82
2015,Tublay,Lettuce,14.95,34.07,2.28
2015,Tublay,Cauliflower,30.12,77.84,2.58
2015,Tublay,Snap Beans,70.73,135.11,1.91
2015,Tublay,Garden Peas,13.55,19.83,1.46
2015,Tublay,Sweet Pepper,82.65,271.63,3.29
2015,Tublay,White Potato,22.35,93.46,4.18
2015,Tublay,Carrots,11.32,34.32,3.03
2015,Total,Cabbage,8825.96,170017.71,19.26
2015,Total,Chinese Cabbage,3276.91,65844.30,20.09
2015,Total,Lettuce,835.76,8401.74,10.05
2015,Total,Cauliflower,632.86,7608.64,12.02
2015,Total,Snap Beans,1915.83,18596.43,9.71
2015,Total,Garden Peas,655.91,3587.15,5.47
2015,Total,Sweet Pepper,986.97,7161.43,7.26
2015,Total,White Potato,10152.53,184770.95,18.2
2015,Total,Carrots,4595.02,70787.61,15.41
2016,Atok,Cabbage,927.75,14498.91,15.63
2016,Atok,Chinese Cabbage,156.92,2813.19,17.93
2016,Atok,Lettuce,75.98,630.88,8.3
2016,Atok,Cauliflower,27.55,190.48,6.91
2016,Atok,Snap Beans,97.51,696.98,7.15
2016,Atok,Garden Peas,86.18,436.71,5.07
2016,Atok,Sweet Pepper,25.20,143.10,5.68
2016,Atok,White Potato,727.12,12133.41,16.69
2016,Atok,Carrots,915.96,10859.80,11.86
2016,Bakun,Cabbage,1754.61,35131.80,20.02
2016,Bakun,Chinese Cabbage,623.75,15593.79,25
2016,Bakun,Lettuce,73.65,736.50,10
2016,Bakun,Cauliflower,0.00,0.00,0
2016,Bakun,Snap Beans,304.76,2620.12,8.6
2016,Bakun,Garden Peas,122.15,867.06,7.1
2016,Bakun,Sweet Pepper,140.75,1126.00,8
2016,Bakun,White Potato,1269.71,25394.20,20
2016,Bakun,Carrots,490.18,7842.88,16
2016,Bokod,Cabbage,61.00,1220.00,20
2016,Bokod,Chinese Cabbage,40.50,577.50,14.26
2016,Bokod,Lettuce,18.00,180.00,10
2016,Bokod,Cauliflower,28.00,336.00,12
2016,Bokod,Snap Beans,63.00,504.00,8
2016,Bokod,Garden Peas,55.00,220.00,4
2016,Bokod,Sweet Pepper,38.00,304.00,8
2016,Bokod,White Potato,63.00,884.00,14.03
2016,Bokod,Carrots,51.00,784.00,15.37
2016,Buguias,Cabbage,3034.80,62836.60,20.71
2016,Buguias,Chinese Cabbage,1342.50,24779.00,18.46
2016,Buguias,Lettuce,318.30,2850.65,8.96
2016,Buguias,Cauliflower,31.76,332.76,10.48
2016,Buguias,Snap Beans,34.84,261.88,7.52
2016,Buguias,Garden Peas,69.00,382.80,5.55
2016,Buguias,Sweet Pepper,66.95,505.00,7.54
2016,Buguias,White Potato,4143.36,67813.76,16.37
2016,Buguias,Carrots,3206.00,48388.00,15.09
2016,Itogon,Cabbage,61.00,610.00,10
2016,Itogon,Chinese Cabbage,79.50,795.00,10
2016,Itogon,Lettuce,13.00,117.00,9
2016,Itogon,Cauliflower,30.00,300.00,10
2016,Itogon,Snap Beans,44.00,308.00,7
2016,Itogon,Garden Peas,30.00,105.00,3.5
2016,Itogon,Sweet Pepper,20.00,120.00,6
2016,Itogon,White Potato,30.00,300.00,10
2016,Itogon,Carrots,30.00,300.00,10
2016,Kabayan,Cabbage,520.66,9789.85,18.8
2016,Kabayan,Chinese Cabbage,87.82,2026.20,23.07
2016,Kabayan,Lettuce,32.47,304.29,9.37
2016,Kabayan,Cauliflower,424.03,6035.30,14.23
2016,Kabayan,Snap Beans,122.59,959.51,7.83
2016,Kabayan,Garden Peas,81.00,401.00,4.95
2016,Kabayan,Sweet Pepper,63.58,431.90,6.79
2016,Kabayan,White Potato,240.00,4750.00,19.79
2016,Kabayan,Carrots,851.32,15653.40,18.39
2016,Kapangan,Cabbage,6.55,78.60,12
2016,Kapangan,Chinese Cabbage,3.55,42.60,12
2016,Kapangan,Lettuce,3.10,37.20,12
2016,Kapangan,Cauliflower,0.65,6.50,10
2016,Kapangan,Snap Beans,281.80,3381.60,12
2016,Kapangan,Garden Peas,75.00,625.00,8.33
2016,Kapangan,Sweet Pepper,339.00,4068.00,12
2016,Kapangan,White Potato,0.00,0.00,0
2016,Kapangan,Carrots,0.00,0.00,0
2016,Kibungan,Cabbage,2266.00,40298.00,17.78
2016,Kibungan,Chinese Cabbage,80.25,947.00,11.8
2016,Kibungan,Lettuce,53.80,503.40,9.36
2016,Kibungan,Cauliflower,2.00,11.80,5.9
2016,Kibungan,Snap Beans,50.25,472.50,9.4
2016,Kibungan,Garden Peas,26.50,209.80,7.92
2016,Kibungan,Sweet Pepper,112.05,915.60,8.17
2016,Kibungan,White Potato,2702.00,51559.00,19.08
2016,Kibungan,Carrots,474.50,7128.50,15.02
2016,La Trinidad,Cabbage,52.50,806.84,15.37
2016,La Trinidad,Chinese Cabbage,58.70,936.46,15.95
2016,La Trinidad,Lettuce,61.70,845.06,13.7
2016,La Trinidad,Cauliflower,25.00,352.32,14.09
2016,La Trinidad,Snap Beans,96.78,831.59,8.59
2016,La Trinidad,Garden Peas,54.34,208.77,3.84
2016,La Trinidad,Sweet Pepper,34.84,299.12,8.59
2016,La Trinidad,White Potato,17.37,300.29,17.29
2016,La Trinidad,Carrots,24.58,223.53,9.09
2016,Mankayan,Cabbage,1152.76,30306.14,26.29
2016,Mankayan,Chinese Cabbage,794.35,17057.00,21.47
2016,Mankayan,Lettuce,182.10,2156.25,11.84
2016,Mankayan,Cauliflower,172.00,1884.00,10.95
2016,Mankayan,Snap Beans,233.15,1984.20,8.51
2016,Mankayan,Garden Peas,158.00,908.00,5.75
2016,Mankayan,Sweet Pepper,170.28,1125.68,6.61
2016,Mankayan,White Potato,1450.00,33650.00,23.21
2016,Mankayan,Carrots,361.80,5912.40,16.34
2016,Sablan,Cabbage,0.00,0.00,0
2016,Sablan,Chinese Cabbage,2.90,58.00,20
2016,Sablan,Lettuce,0.00,0.00,0
2016,Sablan,Cauliflower,0.00,0.00,0
2016,Sablan,Snap Beans,226.98,2269.80,10
2016,Sablan,Garden Peas,13.08,96.24,7.36
2016,Sablan,Sweet Pepper,69.23,553.84,8
2016,Sablan,White Potato,0.00,0.00,0
2016,Sablan,Carrots,0.00,0.00,0
2016,Tuba,Cabbage,47.00,564.00,12
2016,Tuba,Chinese Cabbage,36.99,443.88,12
2016,Tuba,Lettuce,13.00,78.00,6
2016,Tuba,Cauliflower,0.00,0.00,0
2016,Tuba,Snap Beans,246.99,2961.00,11.99
2016,Tuba,Garden Peas,18.50,152.62,8.25
2016,Tuba,Sweet Pepper,18.50,166.48,9
2016,Tuba,White Potato,35.00,420.00,12
2016,Tuba,Carrots,25.49,305.80,12
2016,Tublay,Cabbage,19.60,165.59,8.45
2016,Tublay,Chinese Cabbage,21.90,167.89,7.67
2016,Tublay,Lettuce,22.90,180.92,7.9
2016,Tublay,Cauliflower,16.45,135.11,8.21
2016,Tublay,Snap Beans,95.50,594.21,6.22
2016,Tublay,Garden Peas,11.25,44.75,3.98
2016,Tublay,Sweet Pepper,133.15,904.43,6.79
2016,Tublay,White Potato,16.55,146.24,8.84
2016,Tublay,Carrots,12.85,94.22,7.33
2016,Total,Cabbage,9904.23,196306.33,19.82
2016,Total,Chinese Cabbage,3329.63,66237.51,19.89
2016,Total,Lettuce,868.00,8620.15,9.93
2016,Total,Cauliflower,757.44,9584.27,12.65
2016,Total,Snap Beans,1898.15,17845.39,9.4
2016,Total,Garden Peas,800.00,4657.75,5.82
2016,Total,Sweet Pepper,1231.53,10663.15,8.66
2016,Total,White Potato,10694.11,197350.90,18.45
2016,Total,Carrots,6443.68,97492.53,15.13
2017,Atok,Cabbage,1322.77,23105.20,17.47
2017,Atok,Chinese Cabbage,212.81,4402.66,20.69
2017,Atok,Lettuce,75.71,697.72,9.22
2017,Atok,Cauliflower,26.79,281.00,10.49
2017,Atok,Snap Beans,46.08,374.99,8.14
2017,Atok,Garden Peas,47.73,212.65,4.46
2017,Atok,Sweet Pepper,7.55,51.65,6.84
2017,Atok,White Potato,1120.15,20142.96,17.98
2017,Atok,Carrots,645.37,9675.38,14.99
2017,Bakun,Cabbage,1555.45,32216.74,20.71
2017,Bakun,Chinese Cabbage,727.58,16548.98,22.75
2017,Bakun,Lettuce,84.46,844.60,10
2017,Bakun,Cauliflower,0.00,0.00,0
2017,Bakun,Snap Beans,373.52,3041.60,8.14
2017,Bakun,Garden Peas,151.53,1079.02,7.12
2017,Bakun,Sweet Pepper,165.09,1320.72,8
2017,Bakun,White Potato,1580.79,31615.80,20
2017,Bakun,Carrots,554.77,8864.34,15.98
2017,Bokod,Cabbage,113.65,2273.00,20
2017,Bokod,Chinese Cabbage,66.50,997.50,15
2017,Bokod,Lettuce,25.00,250.00,10
2017,Bokod,Cauliflower,33.00,396.00,12
2017,Bokod,Snap Beans,78.00,624.00,8
2017,Bokod,Garden Peas,59.00,236.00,4
2017,Bokod,Sweet Pepper,45.00,360.00,8
2017,Bokod,White Potato,74.00,1044.00,14.11
2017,Bokod,Carrots,65.00,880.00,13.54
2017,Buguias,Cabbage,2748.00,59320.50,21.59
2017,Buguias,Chinese Cabbage,1350.50,26654.00,19.74
2017,Buguias,Lettuce,268.30,2600.20,9.69
2017,Buguias,Cauliflower,31.25,351.60,11.25
2017,Buguias,Snap Beans,46.60,361.70,7.76
2017,Buguias,Garden Peas,81.69,467.34,5.72
2017,Buguias,Sweet Pepper,80.55,621.55,7.72
2017,Buguias,White Potato,3894.50,65073.00,16.71
2017,Buguias,Carrots,2964.60,12579.60,15.37
2017,Itogon,Cabbage,61.00,640.00,10.49
2017,Itogon,Chinese Cabbage,79.50,795.00,10
2017,Itogon,Lettuce,13.00,117.00,9
2017,Itogon,Cauliflower,30.00,300.00,10
2017,Itogon,Snap Beans,44.00,308.00,7
2017,Itogon,Garden Peas,30.00,105.00,3.5
2017,Itogon,Sweet Pepper,20.00,120.00,6
2017,Itogon,White Potato,20.00,200.00,10
2017,Itogon,Carrots,20.00,200.00,10
2017,Kabayan,Cabbage,669.00,13380.00,20
2017,Kabayan,Chinese Cabbage,81.55,2038.75,25
2017,Kabayan,Lettuce,19.50,117.00,6
2017,Kabayan,Cauliflower,356.00,5310.00,14.92
2017,Kabayan,Snap Beans,59.00,472.00,8
2017,Kabayan,Garden Peas,48.00,240.00,5
2017,Kabayan,Sweet Pepper,84.00,588.00,7
2017,Kabayan,White Potato,204.00,4080.00,20
2017,Kabayan,Carrots,815.00,14670.00,18
2017,Kapangan,Cabbage,5.85,70.20,12
2017,Kapangan,Chinese Cabbage,2.80,33.60,12
2017,Kapangan,Lettuce,1.17,14.02,11.98
2017,Kapangan,Cauliflower,1.35,13.50,10
2017,Kapangan,Snap Beans,215.85,2626.20,12.17
2017,Kapangan,Garden Peas,77.00,635.00,8.25
2017,Kapangan,Sweet Pepper,301.25,3615.00,12
2017,Kapangan,White Potato,0.03,0.03,10
2017,Kapangan,Carrots,0.03,0.03,10
